id,name,category,city,phone,status,pitch
1,"The Thrift Hive India","Instagram Thrift & Y2K Fashion","Delhi NCR","919811092831","Instagram DM Only","Hey Team Thrift Hive! Loved your Y2K denim drop on IG. Stop losing orders in crowded DMs — get a sub-second drop store with 3-sec WhatsApp checkout."
2,"Vintage Thread Co.","Curated Retro & Oversized Wear","Shillong","919863041920","IG Stories Drop Only","Hey Vintage Thread! Turn your IG Story drop views into instant paid orders without manual DM back-and-forth."
3,"Reloved Closet India","Preloved & Sustainable Fashion","Bengaluru","919900218940","Instagram DM Only","Hi Reloved Closet! Automate your Sunday thrift drops with a 0.3s Neobrutalist store linked directly in your IG bio."
4,"RetroDrip Thrift Store","Streetwear & Graphic Tees","Mumbai","919820147820","WhatsApp Orders Only","Hey RetroDrip! Stop losing buyers when DMs get flooded during drops. Launch instant 1-click checkout pages."
5,"Aesthetic Archive Thrift","Corsets & Vintage Dresses","Pune","919822391040","Instagram DM Only","Hi Aesthetic Archive! Turn your viral Reel views into instant sales with a sleek 100/100 speed drop site."
6,"Clay & Bloom Studio","Polymer Clay Earrings & Jewelry","Jaipur","919829055410","IG Bio Linktree Only","Hi Clay & Bloom! showcase your handcrafted clay earrings in a high-converting web catalog with direct WhatsApp orders."
7,"Charm Craft Studio","Custom Wire Wrap & Pearl Jewelry","Chandigarh","919814210980","Instagram DM Only","Hey Charm Craft! Showcase custom charm necklaces without answering 'price?' in IG comments 50 times a day."
8,"Silver Aura Crafts","Oxidized Silver & Boho Jewelry","Ahmedabad","919825190820","WhatsApp Orders Only","Namaste Silver Aura! Scale your festive jewelry sales nationwide with an automated WhatsApp + web storefront."
9,"Bead & Thread Jewelry","Beaded Chokers & Aesthetic Rings","Kochi","919447389100","Instagram DM Only","Hi Bead & Thread! Build brand trust and take direct payments with a fast Neobrutalist jewelry catalog."
10,"Golden Petal Trinkets","Handmade Floral & Resin Jewelry","Guwahati","919864019280","Instagram DM Only","Hey Golden Petal! Convert your Instagram followers into loyal buyers with a sleek zero-commission web store."
11,"Bento Bites Bakery","Korean Bento Cakes & Custom Desserts","Delhi NCR","919810844910","Instagram DM Only","Hey Bento Bites! Stop handling custom cake orders manually over DM. We build 3-second online cake booking forms."
12,"NYC Cookie Lab","Gourmet Chunky NYC Cookies","Mumbai","919820719280","WhatsApp Orders Only","Hi NYC Cookie Lab! Automate weekend cookie batch pre-orders with direct WhatsApp checkout links."
13,"The Sugar Bloom Kitchen","Artisanal Cupcakes & Pastries","Bengaluru","919845391020","IG Bio Linktree Only","Hey Sugar Bloom! Show menu prices and take weekend dessert orders without Swiggy/Zomato's 30% commission."
14,"Sourdough & Co. Home Bakery","Artisanal Sourdough & Breads","Pune","919890481920","WhatsApp Orders Only","Hi Sourdough & Co! Take weekly fresh loaf pre-orders with an automated sub-second bread ordering page."
15,"Velvet Crumb Patisserie","Custom Birthday & Wedding Cakes","Hyderabad","919849410920","Instagram DM Only","Hey Velvet Crumb! Turn luxury cake reel views into booked party orders with an interactive cake builder."
16,"Soulful Candles Co.","Scented Soy Wax & Bubble Candles","Chandigarh","919814391080","Instagram DM Only","Hi Soulful Candles! Showcase your scented candle collections with a 100/100 speed store optimized for Meta ads."
17,"Aroma Therapy Studio","Handpoured Wax Melts & Diffusers","Dehradun","919760219840","WhatsApp Orders Only","Hey Aroma Therapy! Scale your festive gift hampers with an automated web shop and instant WhatsApp receipt."
18,"Concrete & Flame Studio","Concrete Jar Candles & Home Decor","Jaipur","919829188430","IG Bio Linktree Only","Namaste Concrete & Flame! Present your minimalist concrete candle collection on a clean Neobrutalist showcase."
19,"Botanical Wax Works","Pressed Flower Soy Candles","Kolkata","919830291040","Instagram DM Only","Hi Botanical Wax Works! Capture Diwali and wedding gift hamper bulk orders with a fast B2B/D2C showcase."
20,"Tote-ally Handmade Studio","Custom Hand-Painted Canvas Totes","Mumbai","919820891040","Instagram DM Only","Hey Tote-ally Handmade! Convert your viral tote bag reel views into paid orders with 1-click web checkout."
21,"Denim Canvas Custom","Hand-Painted Jackets & Custom Kicks","Delhi NCR","919811782910","Instagram DM Only","Hi Denim Canvas! Take custom jacket sizing and design requests seamlessly via an automated web form."
22,"Resin Reminiscence Studio","Wedding Garland Resin Preservation","Chennai","919840391820","WhatsApp Orders Only","Namaste Resin Reminiscence! Capture high-ticket bridal flower preservation bookings with a dedicated web portal."
23,"Petal & Resin Crafts","Custom Resin Coasters & Trays","Indore","919826291040","Instagram DM Only","Hi Petal & Resin! Stop answering DM inquiries one by one. Display prices & customizations on a fast web shop."
24,"Knit & Knot Crochet Lab","Handmade Crochet Tops & Plushies","Shillong","919863102940","Instagram DM Only","Hey Knit & Knot! Manage custom crochet order slots effortlessly with an automated slot booking page."
25,"Loopy Loops Crafts","Crochet Tote Bags & Bucket Hats","Bengaluru","919900381020","IG Bio Linktree Only","Hi Loopy Loops! Upgrade your IG bio link into a full-blown sub-second e-commerce ordering engine."
26,"Press-On Perfection Studio","Handmade Custom Press-on Nails","Delhi NCR","919811891020","Instagram DM Only","Hey Press-On Perfection! Let clients select nail sizes, shapes, and custom nail art styles online in 3 secs."
27,"Glitz & Glam Pressons","Reusable Gel Nail Art Sets","Pune","919890591080","WhatsApp Orders Only","Hi Glitz & Glam! Scale nail set drops across India with instant WhatsApp ordering and online UPI checkout."
28,"Suds & Botanicals","Cold-Process Organic Soaps","Kochi","919447491020","Instagram DM Only","Namaste Suds & Botanicals! Build buyer confidence with ingredient breakdowns and 1-click soap bundle purchasing."
29,"Butter & Glow Skincare","Handmade Body Butters & Lip Oils","Chandigarh","919814491020","Instagram DM Only","Hey Butter & Glow! Boost Meta ad ROI with a lightning-fast D2C store optimized for beauty sales."
30,"Aesthetic Crochet Studio","Handmade Crochet & Knitwear Brand","Chandigarh","91989281861","Instagram DM Only","Hey Team Aesthetic Crochet Studio! Loved your IG page. Stop losing customer orders in flooded DMs — get a 0.3s web store with 3-sec WhatsApp checkout."
31,"Aesthetic Press-on Crafts","Custom Press-on Nail Artist","Kochi","91989520381","WhatsApp Orders Only","Hi Aesthetic Press-on Crafts! Convert your Instagram Reel views into instant paid orders without manual DM back-and-forth."
